,,,Account details,,,,,,,Payment details,,,,,,,,,,,Account health,,,,,,,,Account decision,,,
Facilities,Parent,n10,Account Status,# Net Terms,Timezone,Autopay,Payment cycle,Last payment method,na,Past Due Balance,# of Past Due Invoices,Total Outstanding Balance,# Outstanding  Invoices,Broken P2P Count,Broken P2P Balance,Boken/Underpaid Invoice numbers,Open Credits,Total Open P2P,Next Invoice Due date,na1,# of pend/suspend cycles last 6-months,Total Count of Past Due in 7 Days,% of Past due/Total AR,Total ineligible,Near ineligible,Facility Payment Score,Payment Category,na3,Automated pend/suspend reccomendation,Action Decision for the Week,"Action plan
(Tell your story - Explain your Situation, Task, Action , Resolution where possible)",TL comments/questions
The Residences at Plainview,Chelsea Senior Living (Parent Company),,ENROLLED,30,,,Insufficient Data,check,, $ -   ,0, $ -   ,0,"Broken P2P: 0
Open P2P: 1
Underpaid P2P: 0","Broken: $0.00
Underpaid: $0.00
Oldest Expected P2P: 01-19-26",,,$356.50,No upcoming invoices,,,0,, $ -   , $ -   ,80,Good Payer,,Keep Enrolled,,,
Stonerise Kingwood,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,85,Good Payer,,Keep Enrolled,,,
Morgantown Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,90,Good Payer,,Keep Enrolled,,,
Moundsville Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,86,Good Payer,,Keep Enrolled,,,
Berkeley Springs Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,83,Good Payer,,Keep Enrolled,,,
Canfield Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,94,Good Payer,,Keep Enrolled,,,
Wellsburg Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,94,Good Payer,,Keep Enrolled,,,
River Oaks Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0," $ 19,043.81 ",4,,,,,,1/21/2026,,,1,0.00%, $ -   , $ -   ,90,Good Payer,,Keep Enrolled,,,
Worthington Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Bi-Weekly,credit_card,," $ 26,609.94 ",3," $ 44,665.10 ",7,,,,,,1/21/2026,,,1,59.58%, $ -   ," $ 15,277.50 ",52,Ok Payer,,Suspension,,,
Hanover Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,86,Good Payer,,Keep Enrolled,,,
